Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/M12_IN3.bam
YOR379C	0
YOR142W	149
YOR268C	0
snR81	71
YOR017W	77
YOR394W	0
YOL134C	4
YOR002W	64
YOR194C	45
YOR298C-A	523
YOL069W	46
YOR014W	86
YOR346W	294
YOR044W	16
YOR275C	37
YOR174W	58
YOR336W	126
YOL094C	37
YOR122C	356
YOR256C	147
YOL137W	13
YOR350C	45
YOR196C	70
YOR380W	5
YOR314W-A	0
tA(UGC)O	0
YOL097W-A	4
YOR376W	1
YOR369C	6131
YOL132W	0
YOR296W	60
YOR260W	114
YOR373W	34
YOR163W	48
YOR029W	0
YOL042W	57
YOR316C	47
YOR326W	939
YOR293C-A	0
YOL036W	41
YOR072W-B	0
YOR332W	257
YOL002C	213
YOR193W	22
YOR243C	469
YOR126C	10
YOR070C	17
YOR328W	55
YOL056W	73
YOR098C	72
YOL110W	17
YOR213C	36
YOR253W	154
YOR008C-A	0
YOL113W	70
YOR060C	18
YOL076W	379
YOR186C-A	0
YOR381W	39
YOR113W	23
YOR273C	146
tN(GUU)O1	0
YOR161W-A	1
YOL147C	19
YOR338W	30
YOR178C	3
YOR188W	25
YOL159C	18
YOR382W	5
YOL071W	5
YOR363C	33
YOR069W	136
YOR075W	34
YOR124C	352
YOR008W-B	0
snR31	1205
YOL025W	4
YOR057W	54
YOR265W	22
YOL127W	2468
YOR107W	17
YOL142W	57
YOR239W	116
YOL091W	2
YOR317W	330
YOR370C	224
tM(CAU)O1	0
YOR211C	34
YOR191W	145
YOL064C	134
tT(AGU)O1	0
YOL049W	363
YOL043C	3
YOR043W	40
YOR331C	6
YOR309C	26
YOR104W	25
YOL114C	8
YOR300W	0
YOR220W	67
YOR378W	7
YOL059W	76
YOR386W	18
YOL027C	78
snR62	1
snR17a	27886
YOL155C	23
YOR375C	392
snR35	1032
YOR100C	0
YOL026C	24
YOL012C	17
YOR026W	55
YOR359W	6
YOR250C	15
YOL013C	36
YOR272W	374
tG(GCC)O2	0
YOL164W-A	0
YOL082W	52
snR36	195
YOR035C	108
YOL016C	195
YOR007C	965
YOR325W	0
YOL085W-A	0
YOL160W	1
YOR361C	590
YOL158C	104
YOR315W	75
YOR010C	4
YOR384W	1
YOR234C	745
YOR283W	116
YOR020W-A	17
YOL045W	127
YOR102W	1
YOL128C	19
YOR360C	259
YOL097C	772
YOR164C	337
YOR175C	369
tP(UGG)O1	0
YOR086C	539
YOR242C	5
YOR155C	83
YOL019W-A	0
YOL030W	127
YOR323C	212
YOL017W	40
YOR233W	134
YOL037C	0
YOR083W	3
YOL010W	90
YOR118W	50
YOR128C	63
YOL125W	65
YOL004W	203
YOR177C	4
YOR166C	55
YOR006C	39
YOR324C	42
YOL024W	0
YOR033C	91
YOL033W	49
YOL070C	101
YOR116C	458
YOL067C	12
YOR145C	200
YOR304C-A	1
YOR192C	1
YOL109W	986
YOR078W	45
YOR134W	4
YOR131C	60
YOR368W	31
YOL111C	0
YOR168W	948
YOR226C	47
YOL162W	0
YOR334W	23
YOR241W	180
tP(UGG)O2	0
YOR245C	77
YOL009C	22
YOR153W	1898
YOR358W	10
YOR335W-A	2
YOR170W	1
YOR267C	17
YOR081C	4
YOL145C	456
YOL156W	1
YOR322C	41
YOL044W	46
YOR054C	42
YOL031C	71
YOR034C-A	4
YOR306C	120
YOR261C	342
YOR293W	1942
YOR062C	6
YOR339C	0
YOR067C	154
YOR312C	2297
YOR094W	31
YOL135C	4
YOL105C	22
YOR329W-A	0
YOR197W	71
YOL104C	18
YOR262W	70
YOR167C	515
YOL015W	7
YOR161C	46
YOR393W	1
YOR105W	5
YOR210W	55
YOR364W	0
YOL087C	41
YOR127W	111
YOR184W	664
YOR150W	12
YOR179C	17
YOR340C	29
YOR354C	100
YOR217W	242
YOR298W	8
YOL006C	111
YOR259C	356
YOR318C	2
YOR320C	247
YOR222W	103
YOL165C	1
YOL007C	23
YOR307C	66
YOL051W	26
YOR091W	54
YOR079C	45
YOL022C	181
YOR278W	35
YOR024W	0
YOL148C	73
YOL078W	69
tP(UGG)O3	3
YOR089C	64
YOL098C	318
YOR171C	85
YOL089C	52
YOL150C	0
YOR095C	198
YOL146W	44
YOR224C	188
YOR302W	0
YOR286W	74
YOR046C	467
tG(CCC)O	0
YOR388C	0
YOR228C	13
YOL112W	61
YOR141C	130
YOL131W	0
YOR049C	0
YOL143C	774
YOR172W	61
YOR149C	53
YOL164W	23
YOR011W	30
YOR071C	28
YOR022C	28
YOR125C	62
YOL141W	48
YOR101W	99
YOR263C	0
YOR383C	0
YOR056C	157
YOL075C	98
YOR073W-A	0
YOR246C	142
YOR042W	22
YOR236W	18
YOR183W	0
YOR176W	175
YOR238W	31
YOR367W	14
YOR297C	16
YOR310C	611
YOR063W	7601
YOR189W	19
YOL129W	143
YOR280C	40
YOR037W	30
YOR090C	73
YOR313C	6
YOL032W	26
YOR158W	50
YOR162C	23
YOL092W	118
YOL061W	506
YOR232W	281
YOR219C	103
YOR182C	494
YOL099C	1
YOR294W	124
YOR288C	46
YOR110W	73
YOR040W	20
YOL083W	6
YOL136C	32
YOL130W	195
YOL021C	229
YOR282W	1
YOL077W-A	8
YOR319W	31
YOR030W	40
YOR291W	115
YOL077C	288
YOR390W	8
YOL052C-A	0
YOR123C	56
YOR013W	1
YOR249C	54
YOR362C	238
YOL058W	2
YOR143C	65
YOR347C	43
YOL157C	6
YOL057W	227
YOR321W	99
YOR015W	30
YOR111W	27
YOL008W	2
YOR279C	29
YOR394C-A	0
YOR180C	6
YOL055C	19
snR5	863
YOL139C	872
YOR287C	38
YOR198C	204
YOR053W	1
YOL054W	32
YOR012W	1
YOL118C	1
YOR034C	91
YOR374W	6
YOR018W	30
YOL084W	3
YOR314W	0
YOR050C	1
YOR391C	0
YOR327C	52
YOR352W	33
YOR348C	2
YOL115W	27
YOR066W	11
YOR072W-A	3
YOL096C	19
tM(CAU)O2	0
YOR020C	234
YOR133W	7422
YOR356W	181
YOR208W	16
YOR357C	37
YOR277C	5
YOR276W	383
YOR247W	2
snR50	2
YOL047C	0
YOR221C	5
YOR344C	25
YOR269W	39
YOR152C	1
YOR103C	96
YOR377W	69
YOR129C	24
YOL038C-A	1
YOR156C	6
YOR329C	31
YOR351C	0
YOL040C	92
YOL159C-A	1
YOR051C	357
YOR003W	8
YOR064C	23
YOR073W	48
YOR201C	30
YOR065W	2
YOR186W	0
YOR045W	24
YOL018C	52
YOL133W	13
YOR087W	120
YOL028C	5
YOL086C	8076
YOL108C	11
YOL023W	15
YOR011W-A	0
YOR165W	261
YOL068C	59
YOR138C	111
YOR016C	62
YOL121C	1194
YOL126C	152
YOR235W	0
YOR080W	24
YOR169C	2
YOR028C	2
YOR225W	0
YOR108C-A	0
YOR109W	177
YOL093W	49
YOR147W	99
YOR218C	2
YOR254C	747
