Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN3.bam
YDL101C	16
YDR162C	3
YDR312W	9
YDL061C	31
YDL040C	101
YDR145W	8
YDR124W	1
YDL231C	41
YDR190C	64
YDL064W	3
YDR463W	2
YDR491C	0
YDR449C	20
YDL035C	25
YDR074W	27
YDR525W	0
YDR257C	26
YDR402C	0
YDR450W	1822
YDR376W	48
YDR161W	23
YDR090C	11
YDR189W	42
YDR524C	8
YDL237W	65
YDR188W	199
YDL133C-A	221
YDR531W	35
tG(GCC)D1	0
YDR226W	357
YDL054C	8
YDL205C	33
YDR537C	0
YDR496C	76
YDR313C	1
YDL108W	12
tV(CAC)D	0
YDR340W	0
YDL147W	59
YDL081C	1238
YDR283C	64
YDR261C	18
YDL211C	1
YDL074C	21
YDL091C	6
YDR346C	194
YDR072C	56
YDR242W	3
YDR323C	5
YDR486C	1
YDR420W	10
YDL122W	30
YDR390C	31
YDR481C	82
YDR318W	7
YDL105W	3
YDL141W	18
YDR400W	61
YDR522C	0
YDL173W	13
YDR279W	12
YDR281C	0
YDR213W	16
YDR179W-A	13
YDR330W	5
YDR106W	1
YDL178W	85
YDR484W	7
YDR308C	2
YDL192W	357
YDL202W	9
YDR146C	5
YDR241W	0
YDL158C	6
YDL185W	1403
YDR251W	28
tL(UAA)D	0
YDR192C	0
YDR368W	94
YDR494W	16
YDR399W	96
YDR070C	0
YDR138W	16
YDR031W	1
YDR255C	1
YDL060W	52
YDR048C	0
YDR067C	5
YDR126W	5
YDR315C	1
YDL126C	748
YDR262W	13
tQ(UUG)D3	2
YDR345C	639
YDR079W	3
YDR433W	0
YDL144C	43
YDR306C	14
YDR292C	71
YDL009C	1
YDR290W	0
YDR282C	10
YDR170C	235
YDR174W	30
YDL218W	0
YDL062W	1
YDL048C	1
YDR500C	504
YDR112W	1
YDR538W	9
YDL011C	2
YDR355C	0
YDR301W	28
YDR412W	11
YDR530C	13
YDR227W	7
YDR041W	12
YDR015C	0
YDL008W	13
YDR234W	58
YDR511W	1
YDR519W	51
YDL086C-A	9
YDR250C	0
YDR465C	46
YDL001W	4
YDR454C	332
YDR013W	3
YDR076W	4
YDL095W	417
YDL007C-A	0
YDL130W	675
YDR100W	16
YDR479C	5
tS(AGA)D1	1
YDL117W	29
YDR140W	9
YDR381W	142
tQ(UUG)D2	0
YDR327W	2
YDR062W	148
YDR143C	10
YDL172C	1
YDL053C	17
YDR223W	1
YDL037C	4
YDL167C	63
YDR246W-A	0
YDR371C-A	0
YDR517W	72
YDL226C	21
YDR467C	4
YDL134C	72
YDR117C	25
YDR314C	3
YDR440W	8
YDR303C	35
YDL078C	113
YDL238C	10
YDR529C	17
YDR437W	2
snR47	24
YDL196W	0
YDR452W	62
YDR445C	0
YDR347W	12
tQ(UUG)D1	1
YDR490C	5
YDR516C	53
YDR509W	0
YDL193W	14
YDL137W	81
YDL118W	0
YDR235W	20
YDR233C	17
YDR388W	64
YDR209C	0
YDR049W	10
YDL194W	6
YDR021W	10
YDR353W	264
YDR051C	23
YDR288W	17
YDR141C	53
YDR194C	77
YDR424C	9
YDR054C	16
YDR122W	11
YDR184C	4
YDR183C-A	1
YDL240W	24
YDR056C	30
YDR541C	8
YDL042C	5
YDR185C	5
YDR328C	67
YDR280W	17
tV(UAC)D	1
YDR098C	41
YDR005C	6
YDR423C	5
YDR017C	25
YDR419W	17
YDR444W	13
YDR341C	381
YDR154C	104
YDR464W	7
YDR132C	3
YDL210W	3
YDR395W	183
YDL222C	1
YDR372C	67
YDR325W	38
YDR216W	15
YDR082W	9
YDL224C	7
YDR498C	13
YDR010C	0
YDR006C	14
YDR182W	17
