Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IP2.bam
YOL056W	26
YOR098C	82
YOL110W	10
YOR213C	23
YOR253W	73
YOR008C-A	0
YOL113W	20
YOR060C	7
YOL076W	72
YOR186C-A	0
YOR381W	4
YOR113W	11
YOR273C	50
tN(GUU)O1	0
YOR161W-A	1
YOL147C	14
YOR338W	7
YOR178C	3
YOR188W	46
YOL159C	11
YOR382W	8
YOL071W	5
YOR363C	18
YOR069W	18
YOR075W	21
YOR124C	57
YOR008W-B	0
snR31	431
YOL025W	15
YOR057W	52
YOR265W	14
YOL127W	2089
YOR107W	13
YOL142W	56
YOR239W	75
YOL091W	2
YOR317W	100
YOR370C	113
tM(CAU)O1	0
YOR211C	30
YOR191W	31
YOL064C	50
tT(AGU)O1	0
YOL049W	104
YOL043C	6
YOR043W	63
YOR331C	10
YOR309C	26
YOR104W	2
YOL114C	1
YOR300W	1
YOR220W	38
YOR378W	6
YOL059W	94
YOR386W	15
YOL027C	33
snR62	3
snR17a	13555
YOL155C	8
YOR375C	499
snR35	966
YOR100C	1
YOL026C	36
YOL012C	79
YOR026W	29
YOR359W	25
YOR250C	19
YOL013C	13
YOR272W	123
tG(GCC)O2	0
YOL164W-A	0
YOL082W	31
snR36	215
YOR035C	39
YOL016C	51
YOR007C	351
YOR325W	1
YOL085W-A	1
YOL160W	0
YOR361C	335
YOL158C	30
YOR315W	71
YOR010C	4
YOR384W	1
YOR234C	515
YOR283W	36
YOR020W-A	11
YOL045W	49
YOR102W	2
YOL128C	8
YOR360C	85
YOL097C	194
YOR164C	128
YOR175C	41
tP(UGG)O1	0
YOR086C	48
YOR242C	1
YOR155C	37
YOL019W-A	0
YOL030W	84
YOR323C	165
YOL017W	11
YOR233W	33
YOL037C	0
YOR083W	2
YOL010W	42
YOR118W	30
YOR128C	49
YOL125W	41
YOL004W	101
YOR177C	5
YOR166C	35
YOR006C	17
YOR324C	33
YOL024W	0
YOR033C	48
YOL033W	27
YOL070C	41
YOR116C	162
YOL067C	4
YOR145C	99
YOR304C-A	2
YOR192C	3
YOL109W	694
YOR078W	23
YOR134W	0
YOR131C	28
YOR368W	16
YOL111C	50
YOR168W	403
YOR226C	38
YOL162W	0
YOR334W	18
YOR241W	57
tP(UGG)O2	0
YOR245C	14
YOL009C	12
YOR153W	429
YOR358W	1
YOR335W-A	2
YOR170W	1
YOR267C	30
YOR081C	29
YOL145C	86
YOL156W	0
YOR322C	50
YOL044W	20
YOR054C	9
YOL031C	35
YOR034C-A	4
YOR306C	12
YOR261C	216
YOR293W	1227
YOR062C	6
YOR339C	2
YOR067C	15
YOR312C	2748
YOR094W	16
YOL135C	14
YOL105C	3
YOR329W-A	1
YOR197W	104
YOL104C	3
YOR262W	22
YOR167C	391
YOL015W	2
YOR161C	16
YOR393W	1
YOR105W	0
YOR210W	65
YOR364W	0
YOL087C	31
YOR127W	44
YOR184W	183
YOR150W	26
YOR179C	11
YOR340C	102
YOR354C	54
YOR217W	43
YOR298W	4
YOL006C	35
YOR259C	70
YOR318C	0
YOR320C	36
YOR222W	50
YOL165C	0
YOL007C	27
YOR307C	37
YOL051W	43
YOR091W	62
YOR079C	5
YOL022C	71
YOR278W	31
YOR024W	0
YOL148C	23
YOL078W	23
tP(UGG)O3	0
YOR089C	21
YOL098C	188
YOR171C	67
YOL089C	25
YOL150C	0
YOR095C	116
YOL146W	27
YOR224C	144
YOR302W	1
YOR286W	61
YOR046C	151
tG(CCC)O	0
YOR388C	1
YOR228C	15
YOL112W	18
YOR141C	35
YOL131W	0
YOR049C	1
YOL143C	560
YOR172W	22
YOR149C	10
YOL164W	10
YOR011W	20
YOR071C	12
YOR022C	12
YOR125C	24
YOL141W	21
YOR101W	65
YOR263C	0
YOR383C	3
YOR056C	43
YOL075C	17
YOR073W-A	0
YOR246C	83
YOR042W	40
YOR236W	33
YOR183W	0
YOR176W	87
YOR238W	22
YOR367W	32
YOR297C	22
YOR310C	371
YOR063W	3526
YOR189W	11
YOL129W	51
YOR280C	32
YOR037W	16
YOR090C	43
YOR313C	3
YOL032W	16
YOR158W	47
YOR162C	13
YOL092W	56
YOL061W	178
YOR232W	192
YOR219C	20
YOR182C	405
YOL099C	5
YOR294W	88
YOR288C	15
YOR110W	22
YOR040W	3
YOL083W	3
YOL136C	83
YOL130W	53
YOL021C	91
YOR282W	0
YOL077W-A	8
YOR319W	28
YOR030W	23
YOR291W	40
YOL077C	189
YOR390W	16
YOL052C-A	2
YOR123C	25
YOR013W	2
YOR249C	17
YOR362C	126
YOL058W	41
YOR143C	18
YOR347C	16
YOL157C	1
YOL057W	115
YOR321W	18
YOR015W	24
YOR111W	10
YOL008W	18
YOR279C	5
YOR394C-A	1
YOR180C	6
YOL055C	15
snR5	863
YOL139C	618
YOR287C	18
YOR198C	280
YOR053W	0
YOL054W	5
YOR012W	1
YOL118C	1
YOR034C	25
YOR374W	14
YOR018W	20
YOL084W	1
YOR314W	0
YOR050C	2
YOR391C	0
YOR327C	53
YOR352W	18
YOR348C	4
YOL115W	28
YOR066W	17
YOR072W-A	0
YOL096C	7
tM(CAU)O2	0
YOR020C	136
YOR133W	3094
YOR356W	25
YOR208W	18
YOR357C	36
YOR277C	1
YOR276W	243
YOR247W	39
snR50	2
YOL047C	2
YOR221C	32
YOR344C	98
YOR269W	22
YOR152C	5
YOR103C	47
YOR377W	25
YOR129C	18
YOL038C-A	0
YOR156C	14
YOR329C	12
YOR351C	0
YOL040C	1663
YOL159C-A	3
YOR051C	67
YOR003W	3
YOR064C	3
YOR073W	16
YOR201C	16
YOR065W	26
YOR186W	2
YOR045W	26
YOL018C	17
YOL133W	21
YOR087W	18
YOL028C	7
YOL086C	5359
YOL108C	3
YOL023W	12
YOR011W-A	0
YOR165W	79
YOL068C	48
YOR138C	35
YOR016C	46
YOL121C	1083
YOL126C	194
YOR235W	1
YOR080W	21
YOR169C	1
YOR028C	18
YOR225W	0
YOR108C-A	1
YOR109W	110
YOL093W	22
YOR147W	20
YOR218C	0
YOR254C	56
YOL080C	33
YOR161W-B	1
tY(GUA)O	0
YOR136W	169
tR(ACG)O	0
YOR192C-C	2
YOR205C	24
YOR200W	0
YOR305W	22
YOR195W	29
