Geneid	/home/adilh/RIP-seq-Analysis/output/bowtie2/WT_IN2.bam
YDR261C-C	0
YDR261W-B	15
YDR365W-A	0
YDR316W-A	0
YDR261W-A	0
YDR365W-B	49
YDR098C-B	21
YDR098C-A	0
YDR210W-A	0
YDR034C-D	19
YDR034C-C	0
YOR185C	2
YOR237W	1
YOL048C	19
tG(GCC)O1	0
YOL144W	5
snR8	389
YOR082C	0
YOL072W	6
YOR114W	3
YOL085C	0
YOR385W	67
YOR214C	0
YOL119C	26
YOR019W	5
YOR206W	128
YOR345C	0
YOR341W	722
YOL088C	18
YOR392W	0
YOR160W	38
YOR084W	2
YOR039W	47
YOR264W	19
YOR281C	12
tK(UUU)O	0
YOR230W	202
YOR144C	11
YOL081W	97
YOL052C	25
YOR285W	115
YOR058C	12
YOR270C	999
YOL154W	5
YOR115C	59
YOL003C	24
YOR258W	8
tN(GUU)O2	0
YOL103W	126
YOR215C	32
YOL095C	6
YOL063C	12
YOL079W	0
YOR389W	0
YOR231W	4
YOR021C	93
YOR139C	1
YOR120W	10
YOL038W	121
YOR023C	2
YOL124C	80
YOR212W	86
YOL013W-A	2
YOL120C	2636
YOR181W	0
YOR333C	0
YOR335C	887
YOL046C	1
YOL029C	5
YOL155W-A	0
YOR072W	1
YOL161C	0
snR58	1
YOL122C	43
YOR252W	6
YOR157C	4
YOL107W	2
YOR274W	17
YOL013W-B	0
YOR343C	0
YOR093C	48
YOR381W-A	0
YOL065C	17
YOR092W	23
YOR207C	103
YOR365C	1
YOL005C	11
YOL020W	129
YOL053W	13
YOL117W	9
YOR038C	15
YOR303W	51
YOR137C	33
YOL034W	18
YOR052C	80
YOR190W	0
YOL039W	512
YOR349W	1
YOL090W	85
YOR271C	36
YOR173W	3
YOR106W	16
YOR108W	220
YOR059C	21
YOL149W	33
YOR121C	12
YOL106W	0
snR9	352
YOR295W	4
YOR203W	0
YOR132W	5
YOR216C	7
YOR099W	406
YOR001W	51
YOR009W	0
YOR204W	196
YOR209C	131
YOR284W	7
YOR036W	6
YOR154W	32
YOR048C	90
YOL073C	8
YOL152W	9
YOL101C	7
YOR085W	11
YOR227W	10
YOR159C	7
YOR146W	3
YOR372C	1
YOR112W	43
YOR387C	0
YOR229W	26
YOR068C	1
YOR376W-A	1
YOL050C	0
YOR342C	11
YOL035C	0
YOR251C	78
YOR041C	1
YOR130C	27
YOR119C	10
YOL166C	0
YOR008C	57
YOL011W	138
YOR248W	0
YOR202W	0
YOR266W	8
YOR140W	1
YOR004W	77
YOR308C	5
YOR032C	0
YOR311C	24
YOL019W	16
YOL138C	9
YOL151W	45
YOR330C	27
YOR379C	0
YOR142W	88
YOR268C	0
snR81	95
YOR017W	13
YOR394W	0
YOL134C	0
YOR002W	30
YOR194C	3
YOR298C-A	483
YOL069W	16
YOR014W	23
YOR346W	67
YOR044W	15
YOR275C	20
YOR174W	29
YOR336W	41
YOL094C	15
YOR122C	214
YOR256C	38
YOL137W	18
YOR350C	21
YOR196C	14
YOR380W	3
YOR314W-A	0
tA(UGC)O	0
YOL097W-A	0
YOR376W	0
YOR369C	8178
YOL132W	0
YOR296W	9
YOR260W	47
YOR373W	3
YOR163W	10
YOR029W	0
YOL042W	29
YOR316C	30
YOR326W	201
YOR293C-A	0
YOL036W	12
YOR072W-B	0
YOR332W	172
YOL002C	122
YOR193W	18
YOR243C	108
YOR126C	10
YOR070C	7
YOR328W	34
YOL056W	33
YOR098C	22
YOL110W	24
YOR213C	17
YOR253W	95
YOR008C-A	0
YOL113W	25
YOR060C	4
YOL076W	147
YOR186C-A	0
YOR381W	33
YOR113W	3
YOR273C	100
tN(GUU)O1	0
YOR161W-A	0
YOL147C	7
YOR338W	3
YOR178C	1
YOR188W	4
YOL159C	11
YOR382W	2
YOL071W	4
YOR363C	13
YOR069W	46
YOR075W	9
YOR124C	41
YOR008W-B	0
snR31	1044
YOL025W	5
YOR057W	23
YOR265W	7
YOL127W	1933
YOR107W	5
YOL142W	31
YOR239W	29
YOL091W	0
YOR317W	134
YOR370C	79
tM(CAU)O1	0
YOR211C	10
YOR191W	11
YOL064C	78
tT(AGU)O1	0
YOL049W	102
YOL043C	1
YOR043W	24
YOR331C	5
